,Customer ID,Category,Sub-Category
0,CG-12520,Furniture,Bookcases
1,CG-12520,Furniture,Chairs
2,DV-13045,Office Supplies,Labels
3,SO-20335,Furniture,Tables
4,SO-20335,Office Supplies,Storage
5,BH-11710,Furniture,Furnishings
6,BH-11710,Office Supplies,Art
7,BH-11710,Technology,Phones
8,BH-11710,Office Supplies,Binders
9,BH-11710,Office Supplies,Appliances
10,BH-11710,Furniture,Tables
11,BH-11710,Technology,Phones
12,AA-10480,Office Supplies,Paper
13,IM-15070,Office Supplies,Binders
14,HP-14815,Office Supplies,Appliances
15,HP-14815,Office Supplies,Binders
16,PK-19075,Office Supplies,Storage
17,AG-10270,Office Supplies,Storage
18,ZD-21925,Office Supplies,Art
19,ZD-21925,Technology,Phones
20,ZD-21925,Office Supplies,Binders
21,KB-16585,Office Supplies,Art
22,KB-16585,Office Supplies,Appliances
23,SF-20065,Furniture,Chairs
24,EB-13870,Furniture,Tables
25,EH-13945,Office Supplies,Binders
26,EH-13945,Technology,Accessories
27,TB-21520,Furniture,Bookcases
28,TB-21520,Office Supplies,Binders
29,TB-21520,Furniture,Furnishings
30,TB-21520,Office Supplies,Envelopes
31,TB-21520,Office Supplies,Art
32,TB-21520,Office Supplies,Binders
33,TB-21520,Office Supplies,Art
34,MA-17560,Office Supplies,Paper
35,GH-14485,Technology,Phones
36,GH-14485,Furniture,Furnishings
37,SN-20710,Office Supplies,Envelopes
38,SN-20710,Furniture,Bookcases
39,SN-20710,Furniture,Chairs
40,SN-20710,Technology,Phones
41,LC-16930,Technology,Phones
42,RA-19885,Office Supplies,Storage
43,ES-14080,Office Supplies,Storage
44,ON-18715,Technology,Accessories
45,ON-18715,Office Supplies,Binders
46,PO-18865,Office Supplies,Storage
47,LH-16900,Technology,Accessories
48,LH-16900,Technology,Phones
49,DP-13000,Office Supplies,Binders
50,DP-13000,Office Supplies,Labels
51,DP-13000,Furniture,Furnishings
52,DP-13000,Furniture,Chairs
53,JM-15265,Office Supplies,Fasteners
54,JM-15265,Technology,Phones
55,TB-21055,Office Supplies,Storage
56,TB-21055,Office Supplies,Paper
57,TB-21055,Furniture,Chairs
58,TB-21055,Office Supplies,Paper
59,TB-21055,Technology,Accessories
60,TB-21055,Office Supplies,Binders
61,TB-21055,Office Supplies,Art
62,KM-16720,Technology,Accessories
63,KM-16720,Office Supplies,Binders
64,KM-16720,Office Supplies,Paper
65,KM-16720,Furniture,Furnishings
66,PS-18970,Furniture,Chairs
67,BS-11590,Office Supplies,Art
68,BS-11590,Technology,Phones
69,KD-16270,Office Supplies,Paper
70,HM-14980,Office Supplies,Binders
71,TB-21520,Office Supplies,Paper
72,JE-15745,Furniture,Chairs
73,JE-15745,Furniture,Furnishings
74,JE-15745,Office Supplies,Storage
75,KB-16600,Office Supplies,Binders
76,KB-16600,Furniture,Furnishings
77,KB-16600,Office Supplies,Storage
78,JE-15745,Furniture,Furnishings
79,SC-20770,Office Supplies,Appliances
80,SC-20770,Office Supplies,Binders
81,DN-13690,Office Supplies,Art
82,DN-13690,Office Supplies,Storage
83,JC-16105,Office Supplies,Envelopes
84,CS-12400,Office Supplies,Storage
85,PO-18865,Furniture,Chairs
86,PG-18895,Technology,Accessories
87,PG-18895,Office Supplies,Labels
88,GM-14455,Office Supplies,Storage
